Model,RMSE_micro,MAE_micro,R²,RMSE (zeros),MAE (zeros),RMSE (non-zeros),MAE (non-zeros),KL Divergence,Correlation,RMSE_macro,MAE_macro,Absolute Relative Error,n_zeros,n_nonzeros
Latent + MLP,0.003243219327392801,0.0007719735975656401,0.7764830176886499,0.0009924742438718833,0.00021296871801402282,0.005385018725346341,0.0018555652876386308,0.32082197623153824,0.89409454741988,0.003243219327392801,0.0007719735975656401,0.5213024883067481,4691,2420
mean,0.006861914929569392,0.0018818099318507412,-0.0005724614336739542,0.0012421395854355349,0.0012421395854355346,0.011634763268309336,0.0031217659628564156,2.0538242237134874,0.0,0.006861914929569392,0.0018818099318507412,0.4999949815838051,4691,2420
zero,0.007002609365232557,0.001406271972999076,-0.04202391662326721,0.0,0.0,0.012003766990759553,0.004132231404957202,2.0538242237134874,0.0,0.007002609365232557,0.001406271972999076,1.0,4691,2420
linear_regression,0.00623346616392674,0.0016053123102020576,0.17430985838743662,0.001275059609698845,0.0008801418805955149,0.010536814840878898,0.003011004246269946,1.373606270530535,0.4272332663896406,0.00623346616392674,0.0016053123102020576,0.7206327831986918,4691,2420
ridge,0.006233461205131549,0.0016052439256622952,0.17431117207923108,0.0012749953030133222,0.0008801100041906623,0.010536821304786552,0.003010865093275282,1.373610569455939,0.42725112941215043,0.006233461205131549,0.0016052439256622952,0.7205416026933773,4691,2420
ridge_high_reg,0.006233424815540117,0.0016047317223076836,0.17432081243485598,0.0012745108125416993,0.0008798554595773105,0.010536871666541475,0.0030098534365507325,1.3736357923507978,0.42738324386047255,0.006233424815540117,0.0016047317223076836,0.719872352025208,4691,2420
elasticnet,0.006861914929569392,0.0018818099318507412,-0.0005724614336739542,0.0012421395854355349,0.0012421395854355346,0.011634763268309336,0.0031217659628564156,2.0538242237134874,0.0,0.006861914929569392,0.0018818099318507412,0.4999949815838051,4691,2420
decision_tree,0.005302670752805857,0.0011678113243034495,0.40248720304903585,0.0015023698341165342,0.0003562502059451205,0.008845814856891936,0.0027409655417492845,0.768961834744651,0.6344501443229198,0.005302670752805857,0.0011678113243034495,0.7618044232494914,4691,2420
random_forest,0.005041457607173757,0.0011087500294410804,0.4599050385492294,0.0014075968842107937,0.00035693905390811746,0.008416847971911287,0.002566082792344026,0.573744958035598,0.6903555479575351,0.005041457607173757,0.0011087500294410804,0.7206988614492127,4691,2420
gradient_boosting,0.004811209619911762,0.0011323395577350398,0.5081117541966385,0.0015277862365432485,0.00041961587614448604,0.007968277950346962,0.0025139043471322656,0.5903792236434573,0.719056828471066,0.004811209619911762,0.0011323395577350398,0.7024345624853404,4691,2420
knn,0.006039594179845041,0.0013165178896376748,0.22487204078132883,0.0010802527647802006,0.0005534583371681536,0.010243152411533086,0.0027956552287428504,1.0243675346930823,0.540581103672792,0.006039594179845041,0.0013165178896376748,0.571028077921064,4691,2420
two_stage,0.005009293432980504,0.0011288238374105727,0.4667745967528022,0.0013769928297637781,0.00040382629136997365,0.00837010179135989,0.0025341806508305934,0.6089131026468679,0.7019702770132659,0.005009293432980504,0.0011288238374105727,0.7287811891325666,4691,2420
zero_inflated_ridge,0.0064687596849420164,0.0013235878069633,0.1107990434277234,0.0008466922928371993,0.00046113465614383467,0.01102581157852768,0.0029953926542749163,1.1894410253904146,0.3604924313271014,0.0064687596849420164,0.0013235878069633,0.5811821199010205,4691,2420
tweedie,0.006861914929569392,0.0018818099318507406,-0.0005724614336739542,0.0012421395854355342,0.0012421395854355342,0.011634763268309336,0.0031217659628564156,2.0538242237134874,1.4736632973718923e-16,0.006861914929569392,0.0018818099318507406,0.4999949815838051,4691,2420
log_transform,0.005708972505156648,0.0010490989068004228,0.30741387096483364,0.00037129293651222135,5.9428175041561596e-05,0.009772571420163398,0.0029675060979908433,0.8058041614238803,0.6921005762745834,0.005708972505156648,0.0010490989068004228,0.6131812951645943,4691,2420
quantile_rf,0.00547364095253058,0.001044140419644408,0.36333569901787655,0.0012086562570122463,0.0002711453775233605,0.009230698257168652,0.0025425370074914472,0.6319793598733789,0.6104974227256036,0.00547364095253058,0.001044140419644408,0.6059729558567055,4691,2420
