K,val_mse
1,1.6394335034419782e-05
2,1.6335316104232334e-05
3,1.5189383702818304e-05
4,1.5092088688106742e-05
5,1.5198988876363728e-05
6,3.6253339203540236e-05
7,3.0439960028161295e-05
8,2.7700532882590778e-05
9,2.459051574987825e-05
10,2.267196396132931e-05
11,2.1060552171547897e-05
12,2.1246172764222138e-05
13,2.263682290504221e-05
14,2.1843283320777118e-05
15,2.0761528503498994e-05
16,2.0551235138555057e-05
17,1.9730265194084495e-05
18,1.926171353261452e-05
19,1.8786029613693245e-05
20,1.928797792061232e-05
21,1.9438475646893494e-05
22,1.9122633602819405e-05
23,1.8822958736564033e-05
24,1.8427192117087543e-05
25,1.7996790120378137e-05
26,1.7738098904374056e-05
27,1.7438973372918554e-05
28,1.707921728666406e-05
29,1.6877651432878338e-05
30,1.672887083259411e-05
31,1.6577341739321128e-05
32,1.6432559277745895e-05
33,1.6291623978759162e-05
34,1.618536225578282e-05
35,1.605952093086671e-05
36,1.594405694049783e-05
37,1.6084917660919018e-05
38,1.5974012057995424e-05
39,1.600189170858357e-05
40,1.5999719835235737e-05
41,1.5907176930340938e-05
42,1.579544914420694e-05
43,1.5778110537212342e-05
44,1.5887655536062084e-05
45,1.5992263797670603e-05
46,1.5938812794047408e-05
47,1.5876606994424947e-05
48,1.579244235472288e-05
49,1.5711029845988378e-05
50,1.5767971490276977e-05
51,1.5693658497184515e-05
52,1.582967524882406e-05
53,1.5825999071239494e-05
54,1.5727075151517056e-05
55,1.574503767187707e-05
56,1.5725581761216745e-05
57,1.5740519302198663e-05
58,1.5738381989649497e-05
59,1.5701785741839558e-05
60,1.5644533050362952e-05
61,1.5574869394185953e-05
62,1.553143374621868e-05
63,1.5516978237428702e-05
64,1.546180465084035e-05
65,1.541515848657582e-05
66,1.5463156159967184e-05
67,1.5432737200171687e-05
68,1.5402685676235706e-05
69,1.5364543287432753e-05
70,1.5268229617504403e-05
71,1.523600167274708e-05
72,1.558960138936527e-05
73,1.5627727407263592e-05
74,1.556973256811034e-05
75,1.5568180970149115e-05
76,1.551867535454221e-05
77,1.5463187082787044e-05
78,1.5566063666483387e-05
79,1.5505451301578432e-05
80,1.62040760187665e-05
81,1.618209898879286e-05
82,1.6114039681269787e-05
83,1.6057983884820715e-05
84,1.604398676136043e-05
85,1.603749842615798e-05
86,1.5990002793841995e-05
87,1.5964249541866593e-05
88,1.5920619262033142e-05
89,1.5871737559791654e-05
90,1.5826886738068424e-05
91,1.5782230548211373e-05
92,1.5744340998935513e-05
93,1.56943169713486e-05
94,1.565392994962167e-05
95,1.5612333299941383e-05
96,1.5571115000057034e-05
97,1.5554094716208056e-05
98,1.55241068569012e-05
99,1.5484511095564812e-05
100,1.5444042219314724e-05
101,1.5421952411998063e-05
102,1.539078584755771e-05
103,1.536386480438523e-05
104,1.533091017336119e-05
105,1.5302073734346777e-05
106,1.5288915165001526e-05
107,1.538083961349912e-05
108,1.5378867828985676e-05
109,1.5360414181486703e-05
110,1.534845432615839e-05
111,1.534053990326356e-05
112,1.5386058294097893e-05
113,1.5331726899603382e-05
114,1.5300600352929905e-05
115,1.5271893062163144e-05
116,1.5242873814713676e-05
117,1.5245030226651579e-05
118,1.5216699466691352e-05
119,1.5199840163404588e-05
120,1.5184384210442659e-05
121,1.5163972420850769e-05
122,1.5140535651880782e-05
123,1.5120077478059102e-05
124,1.5107617400644813e-05
