feature,classifier_importance,regressor_importance,avg_importance
total_reads_norm,0.20618108440748648,0.1382046096700115,0.172192847038749
max_reads_norm,0.1856699981144721,0.1252263529938633,0.1554481755541677
min_reads_norm,0.142702833542098,0.1334205240887456,0.1380616788154218
avg_reads_norm,0.1307569345939499,0.12062115970686868,0.1256890471504093
length_max_mm,0.033351089227810805,0.07809655792618207,0.05572382357699644
repl_w_reads_fractn,0.10736447564568789,0.0021759801063681986,0.054770227876028046
Bulk_Sample_wet_weight,0.026168134941260794,0.06602286762595998,0.04609550128361038
family_encoded,0.024443240164073798,0.052541384604187315,0.038492312384130555
order_encoded,0.02707495854479078,0.03478814973665736,0.03093155414072407
total_reads_per_sample,0.02014231280105815,0.041575085684661,0.030858699242859576
collection_day,0.014110746430708584,0.042126851751168044,0.028118799090938312
latitude,0.01264424507492764,0.032451591941728204,0.02254791850832792
length_min_mm,0.013571222210338454,0.026602359429488538,0.020086790819913495
longitude,0.006514578077573109,0.029392423558948607,0.01795350081826086
SumExcessSpecimens,0.007528634381693657,0.01818800201176139,0.012858318196727524
subfamily_encoded,0.009013303534030086,0.014894793023148875,0.01195404827858948
class_encoded,0.010704258370286312,0.012709632164336902,0.011706945267311607
genus_encoded,0.0072471007423185645,0.009788087623838515,0.00851759418307854
ExcessNumberTaxa,0.004188852741354185,0.009076530108105751,0.006632691424729968
species_encoded,0.004985997265991149,0.0066235578716482245,0.005804777568819686
Excess,0.0018497676760520527,0.005466231323944827,0.0036579994999984397
phylum_encoded,0.0037862315120374157,7.267048377080154e-06,0.001896749280207248
